Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
525.3638253638254,-194.58567678570358,62656
525.3513513513514,-195.03763278408286,62502
525.3388773388773,-195.48961024557985,62699
525.3264033264034,-195.9416091717168,62763
525.3139293139293,-196.3936295640333,62826
525.3014553014553,-196.84567142404936,63044
525.2889812889813,-197.2977347533024,63064
525.2765072765072,-197.74981955331899,62869
525.2640332640333,-198.20192582562348,62889
525.2515592515592,-198.6540535717533,62783
525.2390852390853,-199.10620279323282,62849
525.2266112266112,-199.5583734915973,62794
525.2141372141372,-200.0105656683733,62916
525.2016632016632,-200.46277932508949,62899
525.1891891891892,-200.91501446328328,62781
525.1767151767152,-201.36727108447695,62825
525.1642411642412,-201.81954919021,62746
525.1517671517671,-202.27184878200688,62868
525.1392931392932,-202.72416986139842,62920
525.1268191268191,-203.17651242992207,62901
525.1143451143452,-203.6288764891,63070
525.1018711018711,-204.0812620404762,62860
525.089397089397,-204.53366908557277,62996
525.0769230769231,-204.98609762592068,62896
525.064449064449,-205.4385476630595,62830
525.0519750519751,-205.8910191985136,63024
525.039501039501,-206.34351223382254,62967
525.027027027027,-206.79602677051503,62850
525.014553014553,-207.24856281011984,62943
525.002079002079,-207.7011203541787,62830
524.989604989605,-208.15369940421377,63017
524.977130977131,-208.60629996176903,63094
524.9646569646569,-209.058922028371,62832
524.952182952183,-209.51156560555057,62944
524.9397089397089,-209.9642306948495,62847
524.927234927235,-210.41691729779214,62880
524.9147609147609,-210.86962541592243,62904
524.902286902287,-211.32235505076255,63005
524.8898128898129,-211.77510620385863,62851
524.8773388773388,-212.22787887673718,62928
524.8648648648649,-212.68067307093128,63020
524.8523908523908,-213.13348878798266,62941
524.8399168399169,-213.5863260294157,62733
524.8274428274428,-214.03918479677648,62837
524.8149688149688,-214.4920650915959,62975
524.8024948024948,-214.9449669154005,63019
524.7900207900208,-215.39789026973855,62878
524.7775467775468,-215.85083515613658,63056
524.7650727650728,-216.30380157613635,62807
524.7525987525987,-216.75678953126874,63061
524.7401247401248,-217.20979902306678,62956
524.7276507276507,-217.6628300530766,62854
524.7151767151768,-218.11588262282254,62935
524.7027027027027,-218.5689567338507,63007
524.6902286902287,-219.02205238769415,63043
524.6777546777547,-219.47516958588594,62941
524.6652806652806,-219.9283083299656,63033
524.6528066528067,-220.38146862146843,63007
524.6403326403326,-220.8346504619361,62924
524.6278586278586,-221.28785385290172,62999
524.6153846153846,-221.74107879590048,62867
524.6029106029106,-222.19432529247416,63118
524.5904365904366,-222.64759334415578,62869
524.5779625779626,-223.1008829524893,63129
524.5654885654885,-223.55419411900988,63018
524.5530145530146,-224.00752684524844,63174
524.5405405405405,-224.46088113275542,62958
524.5280665280666,-224.91425698305733,63086
524.5155925155925,-225.36765439770463,63150
524.5031185031185,-225.82107337822816,63036
524.4906444906445,-226.27451392616317,63047
524.4781704781705,-226.72797604305794,63056
524.4656964656965,-227.18145973044113,63118
524.4532224532225,-227.6349649898632,62951
524.4407484407484,-228.08849182285934,63131
524.4282744282744,-228.54204023096048,63062
524.4158004158004,-228.99561021571915,62982
524.4033264033264,-229.44920177866416,63000
524.3908523908524,-229.90281492134366,63032
524.3783783783783,-230.35644964529726,62865
524.3659043659044,-230.81010595205586,62981
524.3534303534303,-231.26378384316985,62932
524.3409563409564,-231.71748332017228,63132
524.3284823284823,-232.1712043846136,63029
524.3160083160083,-232.62494703802685,63046
524.3035343035343,-233.0787112819494,62947
524.2910602910603,-233.5324971179339,63112
524.2785862785863,-233.986304547509,63033
524.2661122661123,-234.44013357222732,62963
524.2536382536382,-234.89398419362408,62912
524.2411642411643,-235.34785641323884,62908
524.2286902286902,-235.80175023262203,63008
524.2162162162163,-236.2556656533045,62951
524.2037422037422,-236.7096026768367,63066
524.1912681912681,-237.16356130476035,63019
524.1787941787942,-237.61754153861068,63021
524.1663201663201,-238.0715433799403,63041
524.1538461538462,-238.52556683028004,63077
524.1413721413721,-238.97961189118686,63061
524.1288981288981,-239.43367856419383,63169
524.1164241164241,-239.88776685084264,63115
524.1039501039501,-240.3418767526859,63096
524.0914760914761,-240.7960082712545,63143
524.0790020790021,-241.25016140810536,63135
524.0665280665281,-241.7043361647715,63101
524.0540540540541,-242.15853254280555,63091
524.04158004158,-242.61275054374707,63120
524.0291060291061,-243.0669901691356,63052
524.016632016632,-243.52125142052373,62976
524.0041580041581,-243.9755342994467,62983
523.991683991684,-244.42983880746144,63113
523.9792099792099,-244.8841649461031,63056
523.966735966736,-245.33851271691785,63103
523.9542619542619,-245.79288212145389,63143
523.941787941788,-246.24727316125296,63101
523.9293139293139,-246.70168583786327,63176
523.9168399168399,-247.15612015283094,62978
523.9043659043659,-247.61057610769552,63156
523.8918918918919,-248.06505370400956,63113
523.8794178794179,-248.51955294331268,63124
523.8669438669439,-248.97407382715957,63106
523.8544698544698,-249.42861635708982,63206
523.8419958419959,-249.8831805346495,63257
523.8295218295218,-250.33776636138907,63226
523.8170478170479,-250.79237383885018,63273
523.8045738045738,-251.24700296858546,63196
523.7920997920997,-251.7016537521388,63085
523.7796257796258,-252.15632619105412,63288
523.7671517671517,-252.61102028688612,63108
523.7546777546778,-253.06573604117224,63239
523.7422037422037,-253.52047345547157,63295
523.7297297297297,-253.97523253132582,63311
523.7172557172557,-254.43001327027892,63215
523.7047817047817,-254.88481567388556,63238
523.6923076923077,-255.33963974368754,63180
523.6798336798337,-255.79448548124174,63361
523.6673596673596,-256.24935288809206,63242
523.6548856548857,-256.7042419657803,63292
523.6424116424116,-257.1591527158676,63288
523.6299376299377,-257.6140851398914,63356
523.6174636174636,-258.0690392394087,63206
523.6049896049896,-258.5240150159676,63380
523.5925155925156,-258.9790124711121,63532
523.5800415800416,-259.43403160639696,63362
523.5675675675676,-259.8890724233682,63379
523.5550935550935,-260.34413492358055,63464
523.5426195426195,-260.7992191085802,63449
523.5301455301455,-261.254324979913,63543
523.5176715176715,-261.70945253914044,63444
523.5051975051975,-262.16460178779977,63491
523.4927234927235,-262.6197727274523,63599
